gene.x gene.y
6732423 3011984
9134780 3092899
9262203 3286361
7697678 3670412
4496643 4559838
9297971 3663875
2171131 3092732
7675304 3751378
9274057 3506871
3322057 3185975
7732347 3051879
9185870 3494854
9283960 2804688
7075906 2846968
9162486 3288300
2076615 2952632
5645883 3092501
7709604 811872
7751947 3011401
9268439 3364977
7024188 2915544
7752018 3603534
2660664 3637249
9299028 3287669
9296240 3575675
7165574 3112639
7061674 2914940
4695025 2915135
7692823 3052522
8460944 2914836
7262205 3223385
7155609 2914745
7669810 3051854
7091130 3237274
9299498 3023219
7155992 3261075
9289652 5177955
6734516 4336259
9258537 3285964
9221001 3019915
7118922 3260848
6775019 2941879
9267963 3287923
5689866 2982106
7751235 3092642
7698042 3093180
7672950 3092887
7676165 3670842
7588540 3751387
6822872 3011512
2272967 3334214
6756782 3011528
9135883 2846570
7753824 3750993
7019070 3198282
7020898 3184187
7693447 3092959
6731409 3957439
7121509 4475904
7764706 3751651
7056151 3287780
6750725 3011507
9134220 3365079
9299844 3365055
8518704 2846438
9289885 2914736
6746708 3364036
9142201 3288000
9300003 3575432
7675802 3092285
7628179 2994109
7678914 3751636
6702926 3364963
7684634 3751643
7642781 3288658
6797921 3011797
7111391 3364418
6712803 3957529
6825504 3364090
6739071 3875150
7116988 3260467
9299484 3288227
7698131 2983259
9272137 3288112
7166635 4460536
7597979 3751385
590547 3092595
9206708 3575672
6889474 3260210
7596277 3751728
7749749 3671274
7689962 3751849
7630626 831764
9299833 3093028
9138658 3051572
6444647 3751410
9236838 3364309
9299979 3364480
9217943 2915267
6777597 3874712
7748712 4738503
9222402 3288184
9249062 3582137
7623209 831525
9298502 3012073
7162682 4559698
6848131 3958016
7698726 3751302
7696933 3092594
7727125 3751161
7165738 5148594
1318884 2914789
7620135 3010645
7588369 11107359
9297635 3575713
6228475 3680922
6779097 3011941
9299262 3364742
9251249 3052043
6743230 3958350
7150105 3183206
7081516 3260905
6786194 3364682
7746245 2984517
7747693 3668792
9300453 3364784
9203179 3215748
4349056 3052504
9297326 3365006
7624342 2981712
9301311 10127679
7750816 3288942
9162819 2946661
6849767 3957992
9299216 3287969
9289617 4535148
7727276 3751308
7668325 3665415
6801135 3286341
7165188 2863257
7685294 3751201
9252307 3214512
9300326 3011713
9237012 5264767
9298772 2915052
7593894 2985297
9178617 3011629
7748366 3093442
9220120 3575379
7053076 4560243
6060494 3335409
7594255 831904
9223377 4613862
6849784 3011861
7656257 811550
7748123 3751492
9236421 446368
7100114 3182943
9191206 3364646
7063605 3187534
6813735 4596483
6789085 3365164
6848296 3958255
9294615 3288344
6776911 3364929
9300590 3092915
7110300 3287588
7166182 4560387
7106946 3260926
3256915 788903
9218674 3498574
9301530 3093336
9248466 3214248
7748117 2982876
7022592 4559551
7650882 3751644
7671880 4502348
9300053 3287542
9134323 3364273
9231003 1907873
9299042 10364591
7660666 3092472
7750608 3751328
6850165 3879528
7104532 2846882
3333069 3011474
6706702 3957471
6747533 3957131
9180876 3364985
9229244 3758388
9256799 3508521
9197190 3241875
9299710 2804471
7056059 2915238
9270222 3539929
6795510 3011645
9242596 2915361
3439017 3011394
6812389 3957505
6829954 3751162
6804104 5199731
1671744 2802927
9178622 3045056
5846584 3958065
6839530 3011988
7740897 3052551
7025985 4457669
6770158 3284497
7751421 3052655
6817066 326944
9246295 3011336
9199234 2953306
9283723 3011966
9234342 3215014
9265291 233129
6849192 3011751
6751488 3870833
9282394 3495367
9141385 3288166
9292860 3050428
7018003 3261031
9212346 1993255
9212346 3364949
9298719 3499037
9290375 3011779
7131630 3011602
5752165 3301165
6848626 3957781
